MD,Match_ID,Player,Squad,#,Nation,Age_Years,Age_Days,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,xA,KP,1/3,PPA,CrsPA,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_TotDist,Carries_PrgDist,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Rec,PrgR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
7,109,Mario Pašalić,Atalanta,8,CRO,29,347,CM,90,1,0,0,0,2,1,0,0,81,1,2,3,1.0,1.0,0.1,4,0,61,68,89.7,8,59,0,3,0,1177,438,24,26,92.3,25,27,92.6,11,12,91.7,0.3,2,8,2,0,63,5,5,1,0,0,0,0,0,0,0,61,0,1,0,1,0,0,0,2,0.0,2,0,3,2,3,0,0,0,22,41,18,5,0.0,2,66.7,312,150,2,0,1,0,61,1,0,1,1,0,0,0,0,0,0,4,2,1,66.7
7,109,Marten de Roon,Atalanta,15,NED,33,298,CM,63,0,0,0,0,0,0,0,0,48,1,1,1,0.0,0.0,0.0,0,0,39,42,92.9,6,34,0,2,1,639,221,21,22,95.5,15,16,93.8,2,2,100.0,0.1,0,1,4,0,41,1,1,0,2,0,0,0,0,0,0,39,0,1,0,1,0,0,0,0,,0,1,0,1,2,1,0,3,14,24,10,0,50.0,1,50.0,140,50,2,0,0,0,35,0,0,1,0,0,0,0,0,0,0,2,1,0,100.0
7,109,Mateo Retegui,Atalanta,32,ITA,25,267,FW,45,1,0,0,0,3,1,0,0,23,2,0,0,0.8,0.8,0.0,2,0,12,14,85.7,1,21,2,3,0,136,24,8,9,88.9,3,4,75.0,0,0,,0.0,0,0,1,0,13,1,1,0,0,1,0,0,0,0,0,12,0,0,2,0,1,1,1,2,50.0,1,0,0,0,2,0,0,0,0,6,17,5,0.0,3,100.0,84,27,2,1,0,1,21,7,0,0,2,0,1,2,0,0,0,0,0,1,0.0
7,109,Rafael Tolói,Atalanta,2,ITA,34,103,CB,90,0,0,0,0,0,0,0,0,65,0,1,0,0.0,0.0,0.0,0,0,57,60,95.0,5,49,0,0,0,965,298,31,31,100.0,20,21,95.2,5,6,83.3,0.0,0,5,1,0,58,2,0,0,1,0,2,0,0,0,0,57,0,1,0,0,0,0,0,1,0.0,1,0,0,1,1,3,1,5,23,36,6,0,,0,,111,53,0,0,0,0,49,0,0,1,0,0,0,0,0,0,0,3,1,1,50.0
7,109,Sead Kolašinac,Atalanta,23,BIH,31,215,CB,70,0,0,0,0,1,0,0,0,44,0,3,0,0.1,0.1,0.0,0,0,32,38,84.2,4,34,2,0,0,480,182,18,20,90.0,14,17,82.4,0,0,,0.0,0,0,0,0,38,0,0,0,0,1,0,0,0,0,0,32,0,1,0,0,0,0,0,3,0.0,3,0,0,3,3,2,0,2,14,27,4,2,,0,,144,97,1,1,1,0,31,2,0,1,0,0,1,0,0,0,0,4,3,1,75.0
7,109,Éderson,Atalanta,13,BRA,25,198,CM,27,0,0,0,0,1,1,0,0,36,1,1,0,0.0,0.0,0.0,2,0,29,32,90.6,5,29,1,1,1,483,171,16,17,94.1,8,9,88.9,4,4,100.0,0.0,1,2,0,0,30,1,1,0,0,1,0,0,0,0,0,29,1,0,1,0,1,0,1,1,100.0,0,0,0,1,2,1,0,1,11,13,12,1,100.0,0,0.0,123,62,1,0,0,0,29,0,0,0,0,0,1,1,0,0,0,2,1,0,100.0
7,109,Amady Camara,Sturm Graz,36,MLI,19,238,LM,45,0,0,0,0,1,0,0,0,14,0,1,0,0.5,0.5,0.0,0,0,7,8,87.5,0,8,0,1,1,79,15,7,7,100.0,0,0,,0,0,,0.0,0,0,0,0,5,3,0,0,0,0,1,0,0,0,0,7,0,1,0,0,0,0,0,0,,0,0,0,1,1,0,0,0,1,6,7,1,100.0,0,0.0,53,24,0,0,3,0,7,3,0,0,1,0,0,0,0,0,0,2,0,1,0.0
7,109,Arjan Malic,Sturm Graz,23,SVN,19,146,RB,90,0,0,0,0,0,0,0,0,47,1,1,2,0.0,0.0,0.0,1,0,27,35,77.1,3,23,1,2,1,406,167,12,13,92.3,13,17,76.5,0,2,0.0,0.0,0,2,0,0,28,7,4,0,0,0,3,0,0,0,0,27,0,1,0,1,0,0,1,2,50.0,1,1,1,1,2,5,0,5,23,19,5,0,50.0,1,50.0,133,48,2,0,0,1,26,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
7,109,Dimitri Lavalée,Sturm Graz,24,BEL,28,8,LB,90,0,0,0,0,0,0,0,0,67,9,1,3,0.0,0.0,0.5,1,0,39,51,76.5,3,34,1,2,2,599,310,23,23,100.0,13,15,86.7,3,6,50.0,0.2,1,5,0,0,44,7,1,1,0,1,6,0,0,0,0,39,0,2,6,9,0,0,6,10,60.0,4,0,3,1,10,4,1,7,43,21,4,0,100.0,0,0.0,94,40,1,0,0,1,34,0,0,2,1,0,1,6,0,0,0,6,0,0,
7,109,Emanuel Aiwum,Sturm Graz,47,AUT,24,27,CB,90,0,0,0,0,0,0,0,0,55,7,2,3,0.0,0.0,0.0,0,0,32,36,88.9,0,29,0,0,0,531,130,12,13,92.3,19,21,90.5,0,1,0.0,0.0,0,1,0,0,36,0,0,0,0,0,0,0,0,0,0,32,0,0,5,6,1,0,5,6,83.3,1,2,1,2,9,6,1,15,41,14,1,0,,0,,84,25,0,0,1,0,28,0,0,4,0,0,0,5,0,0,0,4,2,0,100.0
