MD,Match_ID,Player,Squad,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
1,18,Rodrigo Riquelme,Atlético Madrid,17.0,es ESP,WB,24-170,62,0,0,0,0,1,0,0,0,43,1,0,1,0.0,0.0,0.2,4,0,29,37,78.4,2,30,3,0,0,0,0,0,0,3,1,0,0,0,4,0,0,
1,18,Samuel Lino,Atlético Madrid,12.0,br BRA,WB,24-271,28,0,0,0,0,1,0,0,0,21,1,0,0,0.1,0.1,0.0,1,0,14,16,87.5,2,14,0,2,1,0,0,1,1,1,1,0,0,0,1,0,0,
1,18,Ángel Correa,Atlético Madrid,10.0,ar ARG,AM,29-194,65,0,0,0,0,5,0,0,0,32,0,0,0,0.2,0.2,0.4,5,1,16,22,72.7,3,21,5,1,1,0,2,1,1,0,0,0,0,0,6,0,0,
1,18,Amadou Haidara,RB Leipzig,8.0,ml MLI,CM,26-232,90,0,0,0,0,0,0,0,0,64,1,3,4,0.0,0.0,0.0,3,0,41,54,75.9,4,21,0,0,0,0,2,0,0,0,0,0,0,0,8,0,2,0.0
1,18,Antonio Nusa,RB Leipzig,7.0,no NOR,RM,19-155,45,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,4,9,44.4,1,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,
1,18,Arthur Vermeeren,RB Leipzig,18.0,be BEL,CM,19-225,59,0,0,0,0,0,0,0,0,42,1,1,2,0.0,0.0,0.0,0,0,30,35,85.7,1,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
1,18,Benjamin Henrichs,RB Leipzig,39.0,de GER,RB,27-209,69,0,0,0,0,1,1,1,0,49,1,1,2,0.1,0.1,0.0,0,0,37,42,88.1,3,19,0,1,0,0,2,0,0,0,1,0,0,0,2,0,1,0.0
1,18,Benjamin Šeško,RB Leipzig,30.0,si SVN,FW,21-111,69,1,0,0,0,2,1,0,0,16,0,0,1,0.3,0.3,0.0,0,0,5,9,55.6,0,10,1,0,0,0,1,2,0,0,0,0,0,0,1,3,2,60.0
1,18,Castello Lukeba,RB Leipzig,23.0,fr FRA,CB,21-277,90,0,0,0,0,0,0,1,0,102,1,0,4,0.0,0.0,0.0,1,0,82,89,92.1,1,60,2,0,0,0,2,2,0,0,0,0,0,0,3,1,1,50.0
1,18,Christoph Baumgartner,RB Leipzig,14.0,at AUT,RM,25-049,45,0,0,0,0,0,0,1,0,24,1,0,0,0.0,0.0,0.0,1,0,14,17,82.4,2,12,1,0,0,0,1,0,0,1,1,0,0,0,2,0,0,
1,18,David Raum,RB Leipzig,22.0,de GER,LB,26-150,90,0,0,0,0,0,0,0,0,66,3,2,1,0.0,0.0,0.1,3,0,46,57,80.7,2,25,2,1,1,0,1,0,1,4,2,0,0,0,3,0,2,0.0
1,18,Elif Elmas,RB Leipzig,6.0,mk MKD,LM,24-361,8,0,0,0,0,0,0,0,0,5,1,0,0,0.0,0.0,0.0,0,0,4,4,100.0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0.0
1,18,Loïs Openda,RB Leipzig,11.0,be BEL,FW,24-216,90,0,0,0,0,1,1,1,0,24,0,1,1,0.2,0.2,0.0,1,1,11,16,68.8,2,8,1,3,0,0,1,0,0,0,0,0,0,0,3,2,1,66.7
1,18,Lutsharel Geertruida,RB Leipzig,3.0,nl NED,"RB,FW",24-063,21,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,0,0,12,14,85.7,0,6,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
1,18,Nicolas Seiwald,RB Leipzig,13.0,at AUT,CM,23-138,31,0,0,0,0,0,0,0,0,21,1,1,0,0.0,0.0,0.0,0,0,18,19,94.7,1,11,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.0
1,18,Péter Gulácsi,RB Leipzig,1.0,hu HUN,GK,34-136,90,0,0,0,0,0,0,0,0,67,0,0,0,0.0,0.0,0.0,0,0,62,66,93.9,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,18,Willi Orban,RB Leipzig,4.0,hu HUN,CB,31-321,90,0,0,0,0,0,0,0,0,91,0,0,3,0.0,0.0,0.0,0,0,76,83,91.6,1,59,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,50.0
1,18,Xavi Simons,RB Leipzig,10.0,nl NED,LM,21-151,82,0,0,0,0,2,0,0,0,53,0,1,1,0.1,0.1,0.0,2,0,29,41,70.7,5,24,1,4,0,0,0,5,0,2,0,0,0,0,4,0,0,
1,18,Yussuf Poulsen,RB Leipzig,9.0,dk DEN,FW,30-096,21,0,0,0,0,1,0,0,0,8,0,0,0,0.1,0.1,0.1,1,0,1,4,25.0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,100.0
